民视第一台,民視第一台
民视台湾台,民視台灣台
民视,民視
大爱电视,大愛電視
中视,中視
华视,華視
三立综合台,三立綜合台
客家电视台,客家電視台
八大综艺台,八大綜藝台
爱尔达娱乐台,愛爾達娛樂台
靖天综合台,靖天綜合台
ARIRANG阿里郎频道,ARIRANG阿里郎頻道
原住民族电视台,原住民族電視台
东森购物四台,東森購物四台
LiveABC互动英语频道,LiveABC互動英語頻道
达芬奇频道,達文西頻道
Nick Jr. 儿童频道,Nick Jr. 兒童頻道
尼克儿童频道,尼克兒童頻道
DreamWorks 梦工厂动画,DreamWorks 夢工廠動畫
MOMO亲子台,MOMO親子台
东森购物一台,東森購物一台
镜电视新闻台,鏡電視新聞台
东森新闻台,東森新聞台
华视新闻,華視新聞
民视新闻台,民視新聞台
三立新闻iNEWS,三立新聞iNEWS
TVBS新闻,TVBS新聞
东森财经新闻台,東森財經新聞台
中视新闻,中視新聞
中天新闻台,中天新聞台
寰宇新闻台,寰宇新聞台
SBN全球财经台,SBN全球財經台
东森购物二台,東森購物二台
民视综艺台,民視綜藝台
猪哥亮歌厅秀,豬哥亮歌廳秀
靖天育乐台,靖天育樂台
KLT-靖天国际台,KLT-靖天國際台
Nice TV 靖天欢乐台,Nice TV 靖天歡樂台
靖天资讯台,靖天資訊台
Lifetime 娱乐频道,Lifetime 娛樂頻道
电影原声台CMusic,電影原聲台CMusic
Mezzo Live,Mezzo Live 
CLASSICA 古典乐,CLASSICA 古典樂
东森购物三台,東森購物三台
智林体育台,智林體育台
时尚运动X,時尚運動X
车迷TV,車迷TV
民视旅游台,民視旅遊台
滚动力rollor,滾動力rollor
fun探索娱乐台,fun探索娛樂台
幸福空间居家台,幸福空間居家台
History 历史频道,History 歷史頻道
爱尔达生活旅游台,愛爾達生活旅遊台
TV5MONDE STYLE HD 生活时尚,TV5MONDE STYLE HD 生活時尚
公视戏剧,公視戲劇
民视影剧台,民視影劇台
HITS频道,HITS頻道
靖天戏剧台,靖天戲劇台
靖洋戏剧台,靖洋戲劇台
CI 罪案侦查频道,CI 罪案偵查頻道
视纳华仁纪实频道,視納華仁紀實頻道
金光布袋戏,金光布袋戲
采昌影剧台,采昌影劇台
靖天映画,靖天映畫
靖天电影台,靖天電影台
影迷数位电影台,影迷數位電影台
amc电影台,amc電影台
My Cinema Europe HD 我的欧洲电影,My Cinema Europe HD 我的歐洲電影
大爱二台,大愛二台
人间卫视,人間衛視
半岛国际新闻台,半島國際新聞台
CNBC Asia 财经台,CNBC Asia 財經台
DW德国之声,DW德國之聲
国会频道1,國會頻道1
国会频道2,國會頻道2
TVBS综艺台,TVBS綜藝台
TVBS台剧台,TVBS台劇台
经典电影台,經典電影台
经典卡通台,經典卡通台
精选动漫台,精選動漫台
寰宇新闻台湾台,寰宇新聞台灣台
亚洲旅游台,亞洲旅遊台
影迷数位纪实台,影迷數位紀實台
韩国娱乐台 KMTV,韓國娛樂台 KMTV
MagellanTV频道 (麦哲伦频道),MagellanTV頻道 (麥哲倫頻道)
南桃园节目总表,南桃園節目總表
南桃园公用频道,南桃園公用頻道
民视无线台,民視無線台
TBC桃园生活台,TBC桃園生活台
台视,台視
大爱电视台,大愛電視台
公共电视,公共電視
公视台语台,公視台語台
好消息频道,好消息頻道
原住民频道,原住民頻道
TLC旅游生活频道,TLC旅遊生活頻道
动物星球,動物星球
卡通频道,卡通頻道
小尼克频道,小尼克頻道
东森幼幼台,東森幼幼台
纬来综合台,緯來綜合台
八大综合台,八大綜合台
三立台湾台,三立台灣台
三立都会台,三立都會台
华艺中文台,華藝中文台
东森综合台,東森綜合台
东森超视,東森超視
东森购物2台,東森購物2台
中天综合台,中天綜合台
东风卫视,東風衛視
中天娱乐台,中天娛樂台
东森戏剧台,東森戲劇台
八大戏剧台,八大戲劇台
TVBS欢乐台,TVBS歡樂台
纬来戏剧台,緯來戲劇台
高点电视台,高點電視台
JET综合台,JET綜合台
东森购物3台,東森購物3台
东森购物1台,東森購物1台
壹电视新闻台,壹電視新聞台
年代新闻台,年代新聞台
三立新闻台,三立新聞台
TVBS 新闻台,TVBS 新聞台
非凡新闻台,非凡新聞台
东森购物5台,東森購物5台
CATCHPLAY电影台,CATCHPLAY電影台
东森电影台,東森電影台
纬来电影台,緯來電影台
LS Time电影台,LS Time電影台
东森洋片台,東森洋片台
好莱坞电影台,好萊塢電影台
纬来育乐台,緯來育樂台
纬来体育台,緯來體育台
MOMO综合台,MOMO綜合台
纬来日本台,緯來日本台
国兴卫视,國興衛視
信吉电视台,信吉電視台
信大电视台,信大電視台
中台湾生活网频道,中台灣生活網頻道
台湾艺术台,台灣藝術台
乐视台,樂視台
非凡商业台,非凡商業台
三立财经新闻台,三立財經新聞台
冠军电视台,冠軍電視台
运通财经综合台,運通財經綜合台
诚心电视台,誠心電視台
霹雳台湾台,霹靂台灣台
海豚综合台,海豚綜合台
八大娱乐台,八大娛樂台
壹电视电影台,壹電視電影台
华藏卫视,華藏衛視
壹电视资讯综合台,壹電視資訊綜合台
佛卫慈悲台,佛衛慈悲台
红豆电视台,紅豆電視台
全大电视台,全大電視台
华艺台湾台,華藝台灣台
正德电视台,正德電視台
天良综合台,天良綜合台
番薯卫星电视台,番薯衛星電視台
富立电视台,富立電視台
Z频道,Z頻道
冠军梦想台,冠軍夢想台
三圣电视台,三聖電視台
威达超舜生活台,威達超舜生活台
天美丽电视台,天美麗電視台
大立电视台,大立電視台
双子卫视,雙子衛視
小公视,小公視
华视教育体育文化台,華視教育體育文化台
国会频道1台,國會頻道1台
国会频道2台,國會頻道2台
高点育乐台,高點育樂台
台湾综合台,台灣綜合台
唯心电视台,唯心電視台
美丽人生购物台,美麗人生購物台
宝岛文化台,寶島文化台
中视新闻台,中視新聞台
台视新闻台,台視新聞台
台视财经台,台視財經台
台视综合台,台視綜合台
彭博财经台,彭博財經台
韩国阿里郎,韓國阿里郎
HBO,HBO 
HBO 强档巨献,HBO 強檔鉅獻
HBO 原创巨献,HBO 原創鉅獻
HBO 温馨家庭,HBO 溫馨家庭
靖天欢乐台,靖天歡樂台
韩国娱乐台KMTV,韓國娛樂台KMTV
罪案侦缉频道,罪案偵緝頻道
宠物频道,寵物頻道
历史频道,歷史頻道
Discovery科学频道,Discovery科學頻道
梅迪奇艺术,梅迪奇藝術
博斯运动二台,博斯運動二台
博斯网球台,博斯網球台
博斯无限台,博斯無限台
博斯魅力网,博斯魅力網
博斯运动一台,博斯運動一台
博斯无限二台,博斯無限二台
彩虹频道,彩虹頻道
彩虹电影台,彩虹電影台
K 频道,K 頻道
松视1台,松視1台
松视2台,松視2台
松视3台,松視3台
松视4台,松視4台
潘朵啦高清玩美台,潘朵啦高畫質玩美台
潘朵啦高清粉红台,潘朵啦高畫質粉紅台
JStar极限台电影频道,JStar極限台電影頻道
惊艳成人电影台,驚豔成人電影台
玩家频道,玩家頻道
频道总表,頻道總表
公视(HD),公視(HD)
原住民族电视,原住民族電視
客家电视,客家電視
公视儿少台,公視兒少台
ELTV生活英语台,ELTV生活英語台
龙华动画,龍華動畫
靖洋卡通台Nice Bingo,靖洋卡通台Nice Bingo 
靖天卡通台,靖天卡通台 
Fun探索娱乐台 4K,Fun探索娛樂台 4K
